Sample_ID,Type,Dive,Depth_m,Notes-2,lat_dec,lon_dec,Timestamp,Photo
SCB-256,Water,S0450,896.8825,NA,33.577927,-118.435867,2021-08-03T16:02:35.353Z,
SCB-260d,Pushcore,S0450,899.7472,Barrel 1.1,33.577936,-118.435873,2021-08-03T16:17:18.317Z,scicam_20210803_155519844_beauty_shot.jpg
SCB-264b,Pushcore,S0450,899.7875,Barrel 1.1,33.578036,-118.436221,2021-08-03T16:44:31.828Z,scicam_20210803_165955238_sample.jpg
SCB-266a,Pushcore,S0450,899.7029,Barrel 1.1,33.578066,-118.436235,2021-08-03T17:01:47.992Z,scicam_20210803_165045750_framegrab.jpg
SCB-268,Pushcore,S0450,898.6829,Background1.1,33.577466,-118.435697,2021-08-03T17:46:31.799Z,scicam_20210803_174236084_sample.jpg
SCB-270d,Pushcore,S0450,900.6081,Barrel 1.2,33.573882,-118.437833,2021-08-03T18:53:45.070Z,scicam_20210803_184241472_framegrab.jpg
SCB-272c,Pushcore,S0450,900.6373,Barrel 1.2,33.573972,-118.438052,2021-08-03T19:02:53.200Z,scicam_20210803_184317354_sample.jpg
SCB-274b,Pushcore,S0450,900.6142,Barrel 1.2,33.573968,-118.438061,2021-08-03T19:11:00.468Z,
SCB-276a,Pushcore,S0450,900.5447,Barrel 1.2,33.573972,-118.438123,2021-08-03T19:21:34.936Z,
SCB-280,Pushcore,S0450,900.9122,Background1.2,33.573597,-118.438603,2021-08-03T20:31:16.957Z,scicam_20210803_202759671_sample.jpg
SCB-285,Water,S0451,898.3194,NA,33.566498,-118.425274,2021-08-04T15:59:57.822Z,
SCB-288d,Pushcore,S0451,901.1982,Barrel2.1,33.567011,-118.425702,2021-08-04T16:33:22.930Z,scicam_20210804_161925333_beauty_shot.jpg
SCB-290c,Pushcore,S0451,901.1328,Barrel2.1,33.567037,-118.425659,2021-08-04T16:48:21.050Z,scicam_20210804_160433500_beauty_shot.jpg
SCB-292b,Pushcore,S0451,901.029,Barrel2.1,33.567036,-118.425671,2021-08-04T17:07:26.508Z,scicam_20210804_171026442_beauty_shot.jpg
SCB-296d,Pushcore,S0451,901.2969,Barrel2.2,33.567001,-118.425826,2021-08-04T18:50:24.595Z,scicam_20210804_181105997_beauty_shot.jpg
SCB-298c,Pushcore,S0451,901.2949,Barrel2.2,33.56686,-118.426134,2021-08-04T19:05:26.006Z,scicam_20210804_184115081_sample.jpg
SCB-300b,Pushcore,S0451,901.2828,Barrel2.2,33.566826,-118.426288,2021-08-04T19:12:49.812Z,scicam_20210804_190817364_sample.jpg
SCB-304,Pushcore,S0451,901.2848,Background2.1,33.566969,-118.427071,2021-08-04T20:21:32.968Z,
SCB-306d,Pushcore,S0451,901.3563,Barrel2.3,33.566972,-118.427429,2021-08-04T20:59:51.840Z,
SCB-308c,Pushcore,S0451,901.4157,Barrel2.3,33.566994,-118.427394,2021-08-04T21:10:11.832Z,scicam_20210804_204028386_framegrab.jpg
SCB-310b,Pushcore,S0451,901.4087,Barrel2.3,33.566983,-118.427392,2021-08-04T21:21:10.598Z,scicam_20210804_204155253_framegrab.jpg
SCB-197,Porifera,S0447,703.5457,Heterochone calyx,32.597386,-118.018621,2021-07-31T21:57:16.372Z,scicam_20210731_215216936_beauty_shot.jpg
SCB-093,Porifera,S0443,1221.5795,Staurocalyptus,33.146034,-120.941784,2021-07-28T22:01:50.730Z,scicam_20210728_215408834_beauty_shot.jpg
NA124-195,Cnidaria,H1846,1121.898864,Paragorgia arborea,32.6793025,-118.122454,2020-11-05T00:20:45.178Z,NA124-195.jpg
SCB-210,Porifera,S0448,459.2411,Mycale,33.09972,-117.88368,2021-08-01T17:41:35.509Z,scicam_20210801_172953876_beauty_shot.jpg
unk-1,,,,,33.57807,-118.436235,,
unk-2,,,,,33.566972,-118.427429,,